Nash Equilibrium,0 Low-Quality Clients,1 Low-Quality Clients,2 Low-Quality Clients,3 Low-Quality Clients,4 Low-Quality Clients,5 Low-Quality Clients,6 Low-Quality Clients,7 Low-Quality Clients,8 Low-Quality Clients,9 Low-Quality Clients,10 Low-Quality Clients
0000010010,0,0,0,0,1,0,0,0,0,0,0
0000010011,0,1,0,0,0,0,0,0,0,0,0
0000011100,1,0,0,0,0,0,0,0,0,0,0
0000100010,0,0,0,0,0,0,0,0,1,0,0
0000100011,1,0,0,0,0,0,0,0,0,0,0
0000110010,0,0,1,0,0,0,0,0,0,0,0
0000110111,0,0,1,0,0,0,0,0,0,0,0
0001100011,1,0,0,1,1,1,0,0,0,0,0
0010000101,1,0,0,0,0,0,0,0,0,0,0
0010000110,0,0,1,0,0,0,0,0,0,0,0
0010001001,1,0,0,0,0,0,0,0,0,0,0
0010001010,1,0,0,0,0,0,0,0,0,0,0
0010001101,0,1,0,0,0,0,0,0,0,0,0
0010100010,0,1,0,0,0,0,0,0,0,0,0
0010100011,0,0,0,2,0,2,0,1,0,0,0
0010100100,1,0,1,0,0,0,0,0,0,0,0
0010101010,0,1,0,0,0,0,0,0,0,0,0
0010110010,0,0,1,0,0,0,0,0,0,0,0
0100000110,0,0,0,0,0,1,0,1,0,1,0
0100000111,1,0,0,0,0,0,0,0,0,0,0
0100010010,1,0,0,0,0,0,0,0,0,0,0
0100100000,1,0,0,0,0,0,0,0,0,0,1
0100100001,1,0,0,0,0,0,0,0,0,0,0
0100100011,0,0,0,1,0,0,0,0,0,0,0
0100100111,1,0,0,0,0,0,0,0,0,0,0
0100101000,0,1,0,0,0,0,0,0,0,0,0
0100101011,0,0,1,0,0,0,0,0,0,0,0
0110100100,1,0,0,0,0,0,0,0,0,0,0
0111101010,1,0,0,0,0,0,0,0,0,0,0
1000001011,1,0,0,0,0,0,0,0,0,0,0
1000001110,0,2,0,0,0,0,0,0,0,0,0
1000100110,0,0,1,1,0,1,0,0,0,0,0
1000100111,0,1,0,0,0,0,0,0,0,0,0
1000101111,0,0,0,0,1,0,0,0,0,0,0
1000110011,0,0,0,0,0,1,0,0,0,0,0
1000111111,0,0,0,0,0,0,1,0,0,0,0
1001101011,1,0,0,0,0,0,0,0,0,0,0
1010001011,0,0,0,1,0,0,0,0,0,0,0
1010111011,1,0,0,0,0,0,0,0,0,0,0
1011101110,0,0,0,1,0,0,0,0,0,0,0
1011101111,0,1,0,0,0,0,0,0,0,0,0
1011110001,1,0,0,0,0,0,0,0,0,0,0
1100100010,0,0,0,0,1,1,0,0,0,0,0
1100100011,0,0,1,0,0,0,0,0,0,0,0
1100110110,0,0,1,0,0,0,0,0,0,0,0
1101100101,0,0,1,0,0,0,0,0,0,0,0
1110001110,0,1,0,0,0,0,0,0,0,0,0
1110110111,2,0,0,0,0,0,0,0,0,0,0
1110111110,1,0,0,0,0,0,0,0,0,0,0
1111011111,0,1,0,0,0,0,0,0,0,0,0
1111100111,1,0,0,0,0,0,0,0,0,0,0
1111101110,1,0,0,0,0,0,0,0,0,0,0
1111110011,0,0,1,0,0,0,0,0,0,0,0
1111111111,100,99,100,100,100,100,100,100,100,100,100
