Nash Equilibrium,Occurrences,Subsample Ratio,Max Iter
1111111111,4,0.5,10
1111011111,1,0.5,10
1111101111,3,0.5,10
1110111111,3,0.5,10
0000000011,1,0.5,10
1110101011,1,0.5,10
1011111111,1,0.5,10
1111110111,1,0.5,10
1111111011,1,0.5,10
1111111111,4,0.5,100
1111011111,1,0.5,100
1111101111,2,0.5,100
0000000011,3,0.5,100
1110111111,3,0.5,100
1110101111,1,0.5,100
1011111111,1,0.5,100
1111111111,4,0.6,10
1111011111,1,0.6,10
1111101111,2,0.6,10
1110111111,3,0.6,10
0000000011,2,0.6,10
1110101111,1,0.6,10
1011111111,1,0.6,10
1111111111,4,0.6,100
1111011111,1,0.6,100
1111101111,2,0.6,100
0000000011,3,0.6,100
1110111111,3,0.6,100
1110101111,1,0.6,100
1011111111,1,0.6,100
1111111111,4,0.7,10
1111011111,1,0.7,10
1111101111,2,0.7,10
1110111111,3,0.7,10
0000000011,2,0.7,10
1110101011,1,0.7,10
1011111111,1,0.7,10
1111111111,4,0.7,100
1111011111,1,0.7,100
1111101111,2,0.7,100
0000000011,3,0.7,100
1110111111,3,0.7,100
1110101111,1,0.7,100
1011111111,1,0.7,100
1110110111,1,0.8,10
1111111111,4,0.8,10
1111011111,1,0.8,10
1111101111,2,0.8,10
1110111111,3,0.8,10
0000000011,2,0.8,10
1110101111,1,0.8,10
1011111111,1,0.8,10
1110101111,2,0.8,100
1110110111,1,0.8,100
1111111111,5,0.8,100
1111011111,1,0.8,100
1111101111,1,0.8,100
0000000011,3,0.8,100
1110111111,3,0.8,100
1011111111,1,0.8,100
1111110111,1,0.8,100
1111111011,1,0.8,100
